domain,support_seed,arm,variant,condition,temperature,count,macro_f1,balanced_accuracy,nll,brier,ece
turkey-earthquake,0,lora1,temperature,jpeg70,2.5178508235883355,60,0.2941970310391363,0.38888888888888884,1.1485576128181654,0.6976135046712706,0.06001200925708362
turkey-earthquake,0,lora4,raw,clean,1.2619146889603867,60,0.36217660745962627,0.38888888888888884,1.2240793966912302,0.7069921025725658,0.15797320862496264
turkey-earthquake,0,lora4,temperature,clean,1.2619146889603867,60,0.36217660745962627,0.38888888888888884,1.1686409663105906,0.6904375882502696,0.15378664909282275
turkey-earthquake,0,lora4,raw,gaussian4,1.2619146889603867,60,0.4597222222222223,0.4537037037037037,1.151058546828246,0.6692871576796295,0.11944788198399586
turkey-earthquake,0,lora4,temperature,gaussian4,1.2619146889603867,60,0.4597222222222223,0.4537037037037037,1.114384598439489,0.6599076698151156,0.06794516857606596
turkey-earthquake,0,lora4,raw,gaussian8,1.2619146889603867,60,0.4378881987577639,0.4537037037037037,1.1655113865273286,0.6736386728196142,0.10690394292114605
turkey-earthquake,0,lora4,temperature,gaussian8,1.2619146889603867,60,0.4378881987577639,0.4537037037037037,1.1269553830769963,0.6644939817808766,0.10868249775307655
turkey-earthquake,0,lora4,raw,jpeg40,1.2619146889603867,60,0.369590017825312,0.39351851851851843,1.2273620774433909,0.7102584378248644,0.13146249652386155
turkey-earthquake,0,lora4,temperature,jpeg40,1.2619146889603867,60,0.369590017825312,0.39351851851851843,1.1713030660718846,0.6931975993100977,0.09607158248785572
turkey-earthquake,0,lora4,raw,jpeg70,1.2619146889603867,60,0.36904761904761907,0.40277777777777785,1.2162529327647136,0.7032475831100006,0.1296631255041804
turkey-earthquake,0,lora4,temperature,jpeg70,1.2619146889603867,60,0.36904761904761907,0.40277777777777785,1.1615317959220375,0.6873967583962202,0.10064772130826734
turkey-earthquake,0,aperture,raw,clean,1.4997884186649117,60,0.26776879305181195,0.3148148148148148,1.1177959465902585,0.685790911816363,0.15599450893216843
turkey-earthquake,0,aperture,temperature,clean,1.4997884186649117,60,0.26776879305181195,0.3148148148148148,1.096394966410937,0.6694645598203393,0.11388057555357817
turkey-earthquake,0,aperture,raw,gaussian4,1.4997884186649117,60,0.2687808315715292,0.32407407407407407,1.1670246081397282,0.7051985882030272,0.13511291325214203
turkey-earthquake,0,aperture,temperature,gaussian4,1.4997884186649117,60,0.2687808315715292,0.32407407407407407,1.1284363205112764,0.6850460516431982,0.09769366833987157
turkey-earthquake,0,aperture,raw,gaussian8,1.4997884186649117,60,0.2932999312309657,0.34722222222222215,1.1513055406492154,0.6991034506639664,0.13837051456439683
turkey-earthquake,0,aperture,temperature,gaussian8,1.4997884186649117,60,0.2932999312309657,0.34722222222222215,1.1157345418531106,0.6782643977243539,0.0939863794209447
turkey-earthquake,0,aperture,raw,jpeg40,1.4997884186649117,60,0.2642825011246064,0.3148148148148148,1.1483008888716386,0.6958464210286707,0.15371859719062775
turkey-earthquake,0,aperture,temperature,jpeg40,1.4997884186649117,60,0.2642825011246064,0.3148148148148148,1.1162822484318917,0.6784037461334422,0.11546359312108558
turkey-earthquake,0,aperture,raw,jpeg70,1.4997884186649117,60,0.30476833108412055,0.36574074074074076,1.1389840062170804,0.6963143154719873,0.10310042992116764
turkey-earthquake,0,aperture,temperature,jpeg70,1.4997884186649117,60,0.30476833108412055,0.36574074074074076,1.1094744043466556,0.6768361064831383,0.06527317163147271
hospital_2,0,frozen,raw,clean,0.2825075089245509,60,0.569377990430622,0.6,0.6569746567789297,0.4644877494924768,0.032892846736944654
hospital_2,0,frozen,temperature,clean,0.2825075089245509,60,0.569377990430622,0.6,0.847064461046394,0.5578474906501343,0.23159759476928066
